bbk_full;bbk_abb;description;changes;;;
2;2;Естественные науки;;;;
20;20;Естественные науки в целом;;;;
20г;20г;История естественных наук в целом;;;;
45677;45677;Экология;Измененная формулировка;;;
20.18;20.18;Экологическая защита и охрана окружающей среды;Измененная формулировка;;;
45736;45736;Аномальные явления в окружающей среде. Уфология;;;;
22;22;Физико-математические науки;;;;
45679;45679;Математика;;;;
22.1г;22.1г;История математики;;;;
46013;46013;Основания математики. Математическая логика;;;;
22.13;22.13;Теория чисел;;;;
22.130;22.130;Арифметика;;;;
22.131;22.131;Элементарная теория чисел;;;;
22.132;22.132;Алгебраическая теория чисел;;;;
22.135;22.135;Геометрия чисел;;;;
22.14;22.14;Алгебра;;;;
22.141;22.141;Элементарная алгебра;;;;
;;;;;;
22.143;22.143;Линейная и полилинейная алгебра. Теория матриц;;;;
22.144;22.144;Общая алгебра;;;;
22.147;22.147;Алгебраическая геометрия;;;;
22.15;22.15;Геометрия. Топология;;;;
22.151;22.151;Геометрия;;;;
22.151.0;22.151.0;Элементарная геометрия;;;;
22.151.1;22.151.1;Основания геометрии. Аксиоматика;;;;
22.151.2;22.151.2;Неевклидовы геометрии;;;;
22.151.3;22.151.3;Аффинная, проективная и начертательная геометрия;;;;
22.151.5;22.151.5;Алгебраические и аналитические методы в геометрии;;;;
22.152;22.152;Топология;;;;
;;;;;;
22.143;22.143;Линейная и полилинейная алгебра. Теория матриц;;;;
22.144;22.144;Общая алгебра;;;;
22.147;22.147;Алгебраическая геометрия;;;;
22.15;22.15;Геометрия. Топология;;;;
22.151;22.151;Геометрия;;;;
22.151.0;22.151.0;Элементарная геометрия;;;;
22.151.1;22.151.1;Основания геометрии. Аксиоматика;;;;
22.151.2;22.151.2;Неевклидовы геометрии;;;;
22.151.3;22.151.3;Аффинная, проективная и начертательная геометрия;;;;
22.151.5;22.151.5;Алгебраические и аналитические методы в геометрии;;;;
22.152;22.152;Топология;;;;
22.16;22.16;Математический анализ. Функциональный анализ;;;;
22.161;22.161;Математический анализ;;;;
22.161.1;22.161.1;Дифференциальное и интегральное исчисления;;;;
22.161.5;22.161.5;Теория функций;;;;
22.161.6;22.161.6;Дифференциальные, интегральные и интегро-дифференциальные;;;;
;;уравнения. Исчисления конечных разностей;;;;
22.161.8;22.161.8;Вариационное исчисление;;;;
22.162;22.162;Функциональный анализ;;;;
22.17;22.17;Теория вероятностей. Математическая статистика. Дискретный;Расширенная формулировка;;;
;;анализ;формулировка;;;
22.171;22.171;Теория вероятностей;;;;
22.172;22.172;Математическая статистика;;;;
22.176;22.176;Дискретный анализ (дискретная математика, конечная;;;;
;;математика);;;;
22.18;22.18;Математическая кибернетика;;;;
22.19;22.19;Вычислительная математика;;;;
22.193;22.193;Численные методы решения уравнений;;;;
22.194;22.194;Математические таблицы;;;;
45710;45710;Механика;;;;
22.21;22.21;Теоретическая (аналитическая) механика;;;;
22.213;22.213;Динамика;;;;
22.25;22.25;Механика сплошных сред;;;;
22.251;22.251;Механика твердых деформируемых тел (сред);;;;
;;;;;;
22.253;22.253;Гидромеханика и аэромеханика (механика жидкостей и;;;;
;;газообразных сред);;;;
22.253.3;22.253.3;Гидродинамика и аэродинамика;;;;
45738;45738;Физика;;;;
22.3г;22.3г;История физики;;;;
22.3с;22.3с;Физические приборы;;;;
22.31;22.31;Теоретическая физика;;;;
22.311;22.311;Математическая физика;Измененная формулировка;;;
22.313;22.313;Классическая электродинамика. Теория относительности;;;;
22.314;22.314;Квантовая (волновая) механика. Нерелятивистская квантовая;;;;
;;механика;;;;
22.317;22.317;Термодинамика и статистическая физика;;;;
22.32;22.32;Акустика;;;;
22.33;22.33;Электричество и магнетизм;;;;
22.333;22.333;Электронные и ионные явления. Физика плазмы;;;;
22.334;22.334;Магнетизм;;;;
22.336;22.336;Электромагнитные колебания и волны;;;;
22.338;22.338;Движение заряженных частиц в электрических и магнитных полях;;;;
22.34;22.34;Оптика;;;;
22.343;22.343;Физическая оптика;;;;
